Date /Time,,SAMPLE ID.,Alkalinity,HCl std,mol/L,volume (mL),pH,Titre HCl,EndPointVol (mL)
,,,ppm,mol/L,,,,,
2019-08-05 13:21:01 UTC+8,Ryan Noble Alkalinity,Hamil 20.2 std.,138.67279,,,10,7.44,,2.2
2019-08-05 12:37:40 UTC+8,Ryan Noble Alkalinity,milli q blank,4.6056,,,20,6.08,,0.15
2019-08-05 12:31:33 UTC+8,Ryan Noble Titre HCl,STD3,,0.01034,mol/L,25,,0.01034,
2019-08-05 12:25:29 UTC+8,Ryan Noble Titre HCl,STD2,,0.01035,mol/L,25,,0.01061,
2019-08-05 12:18:02 UTC+8,Ryan Noble Titre HCl,STD1,,0.01086,mol/L,25,,0.01086,
2019-08-02 19:45:59 UTC+8,Ryan Noble Alkalinity,milli q blank,4.06122,,,20,5.84,,0.13
MT. ISA SAMPLES:,,,,,,,,,
2019-08-02 19:31:34 UTC+8,Ryan Noble Alkalinity,14331 dup,525.2092,,,20,8.52,,16.81
2019-08-02 19:17:13 UTC+8,Ryan Noble Alkalinity,14331,522.46002,,,20,8.49,,16.72
2019-08-02 19:09:12 UTC+8,Ryan Noble Alkalinity,12687,231.48945,,,20,8.44,,7.41
2019-08-02 18:53:25 UTC+8,Ryan Noble Alkalinity,Woolshed,576.81786,,,20,8.77,,18.46
2019-08-02 18:46:42 UTC+8,Ryan Noble Alkalinity,Williams yard,160.01199,,,20,8.13,,5.12
2019-08-02 18:34:26 UTC+8,Ryan Noble Alkalinity,Williams,473.10069,,,20,8.64,,15.14
2019-08-02 18:18:19 UTC+8,Ryan Noble Alkalinity,Toole Creek 1,584.56545,,,20,8.61,,18.71
2019-08-05 13:07:15 UTC+8,Ryan Noble Alkalinity,RN 51466 rpt,2002.23799,,,5,7.54,,15.87
2019-08-05 12:41:33 UTC+8,Ryan Noble Alkalinity,RN 51466,2013.84675,,,10,7.66,,31.92
2019-08-02 17:48:57 UTC+8,Ryan Noble Alkalinity,RN 51466,invalid,,,20,8.22,,invalid
2019-08-02 17:38:58 UTC+8,Ryan Noble Alkalinity,RN 184014,308.09025,,,20,8.47,,9.86
2019-08-02 17:21:18 UTC+8,Ryan Noble Alkalinity,RN 171621,656.54276,,,20,8.47,,21.02
2019-08-02 16:55:56 UTC+8,Ryan Noble Alkalinity,RN 171620,1004.55791,,,20,8.43,,32.16
2019-08-02 16:49:10 UTC+8,Ryan Noble Alkalinity,RN 118306,186.19124,,,20,8.33,,5.96
2019-08-02 16:32:00 UTC+8,Ryan Noble Alkalinity,RN 51681,681.72231,,,20,8.46,,21.82
2019-08-02 16:24:35 UTC+8,Ryan Noble Alkalinity,RN 51465,214.1824,,,20,8.32,,6.86
2019-08-02 16:12:43 UTC+8,Ryan Noble Alkalinity,RN 51420,433.36323,,,20,8.52,,13.87
2019-08-02 16:02:31 UTC+8,Ryan Noble Alkalinity,RN 8102,326.08458,,,20,8.33,,10.44
2019-08-02 15:47:57 UTC+8,Ryan Noble Alkalinity,RN 2734,525.64656,,,20,8.86,,16.83
2019-08-02 15:44:54 UTC+8,Ryan Noble Alkalinity,milli q blank,3.24897,,,20,5.41,,0.1
2019-08-02 15:38:42 UTC+8,Ryan Noble Alkalinity,Hamil 20.2 std,130.45883,,,20,8.09,,4.18
2019-08-02 15:11:47 UTC+8,Ryan Noble Alkalinity,Guys bore,1077.53484,,,20,8.42,,34.49
2019-08-02 15:04:28 UTC+8,Ryan Noble Alkalinity,Fisher Creek MW 71620,183.75452,,,20,8.09,,5.88
2019-08-02 14:53:07 UTC+8,Ryan Noble Alkalinity,Bore 7 51680 dup,369.00855,,,20,8.27,,11.81
2019-08-02 14:40:22 UTC+8,Ryan Noble Alkalinity,RN 2732,380.25499,,,20,8.13,,12.17
2019-08-02 14:32:58 UTC+8,Ryan Noble Alkalinity,RN 2721,168.82171,,,20,8.27,,5.4
2019-08-02 14:14:16 UTC+8,Ryan Noble Alkalinity,RN 2694,676.91135,,,20,8.28,,21.67
2019-08-02 14:10:58 UTC+8,Ryan Noble Alkalinity,MK Pit 1,5.99811,,,20,5.51,,0.19
2019-08-02 13:47:49 UTC+8,Ryan Noble Alkalinity,Fisher Creek House bore,900.09089,,,20,8.56,,28.81
2019-08-02 13:36:11 UTC+8,Ryan Noble Alkalinity,Dingo 1,399.12404,,,20,8.36,,12.78
2019-08-02 13:31:55 UTC+8,Ryan Noble Alkalinity,Bullock Mill 1 blank,7.87251,,,20,6.54,,0.25
2019-08-02 13:14:33 UTC+8,Ryan Noble Alkalinity,Bullock Mill 1 dup,601.685,,,20,8.33,,19.26
2019-08-02 12:56:36 UTC+8,Ryan Noble Alkalinity,Bullock Mill 1,664.47775,,,20,8.47,,21.27
2019-08-02 12:49:27 UTC+8,Ryan Noble Alkalinity,Corner bore,157.07544,,,20,7.67,,5.03
2019-08-02 12:37:37 UTC+8,Ryan Noble Alkalinity,Bore 7 51680,370.19565,,,20,8.16,,11.85
2019-08-02 10:54:39 UTC+8,Ryan Noble Alkalinity,Alf's Hamil 20.2 std,148.45316,,,20,7.74,,4.75
2019-08-02 10:51:00 UTC+8,Ryan Noble Alkalinity,milli q blank,3.43642,,,20,5.44,,0.11
2019-08-02 10:44:57 UTC+8,Ryan Noble Titre HCl,STD3,,0.01034,,25,,0.01028,
2019-08-02 10:38:45 UTC+8,Ryan Noble Titre HCl,STD2,,0.01029,,25,,0.01025,
2019-08-02 10:32:22 UTC+8,Ryan Noble Titre HCl,STD1,,0.0102,,25,,0.0102,
2019-08-02 10:26:39 UTC+8,Ryan Noble pH cal,pH calibration 4 and 7,,,,20,,,
GS- New South Wales Samples:,,,,,,,,,
2019-08-02 09:58:26 UTC+8,Ryan Noble Alkalinity,MXSCSJT0002,,,,20,,,
2019-08-02 12:30:05 UTC+8,Ryan Noble Alkalinity,KHS 2 rpt,335.76901,,,10,7.91,,5.37
2019-08-02 08:02:17 UTC+8,Ryan Noble Alkalinity,MXNCKSH0002,invalid,,,20,8.46,,invalid
2019-08-02 12:25:29 UTC+8,Ryan Noble Alkalinity,MXNCKSH0001 rpt.,36.86337,,,10,6.56,,0.59
2019-08-02 07:45:38 UTC+8,Ryan Noble Alkalinity,MXNCKSH0001,invalid,,,20,7.78,,invalid
2019-08-02 12:17:29 UTC+8,Ryan Noble Alkalinity,MXSCMAE0017 rpt.,421.99183,,,10,8.01,,6.75
2019-08-02 07:19:20 UTC+8,Ryan Noble Alkalinity,MXSCMAE0017,invalid,,,20,8.22,,invalid
2019-08-02 07:10:46 UTC+8,Ryan Noble Alkalinity,MXSCMAE0016,279.22668,,,20,8.05,,9.1
2019-08-02 07:01:07 UTC+8,Ryan Noble Alkalinity,MXSCMAE0015,276.64865,,,20,7.99,,9.01
2019-08-02 06:47:59 UTC+8,Ryan Noble Alkalinity,MXSCMAE0011,397.63255,,,20,8.17,,12.96
2019-08-02 06:34:48 UTC+8,Ryan Noble Alkalinity,MXSCMAE0010 F,442.07311,,,20,8.43,,14.4
2019-08-02 06:22:20 UTC+8,Ryan Noble Alkalinity,MXSCMAE0010,429.2443,,,20,8.32,,13.99
2019-08-02 06:17:59 UTC+8,Ryan Noble Alkalinity,milli-q blank,9.94388,,,20,6.28,,0.32
2019-08-02 06:11:10 UTC+8,Ryan Noble Alkalinity,Hamill 20.2 std.,145.35257,,,20,8.04,,4.74
2019-08-02 05:22:29 UTC+8,Ryan Noble Alkalinity,MXSCMAE0005,953.93755,,,20,8.29,,31.08
2019-08-02 05:05:49 UTC+8,Ryan Noble Alkalinity,MXSCMAE0004,586.19801,,,20,8.38,,19.1
2019-08-02 04:49:32 UTC+8,Ryan Noble Alkalinity,MXSCMAE0003,611.11905,,,20,8.33,,19.91
2019-08-02 04:37:06 UTC+8,Ryan Noble Alkalinity,MXSCMAE0002,411.19798,,,20,8.09,,13.4
2019-08-02 04:25:42 UTC+8,Ryan Noble Alkalinity,MXSCMAE0001,361.11027,,,20,8.3,,11.77
2019-08-02 04:02:44 UTC+8,Ryan Noble Alkalinity,MXNCLJD0016,827.30651,,,20,8.28,,26.96
2019-08-02 05:46:43 UTC+8,Ryan Noble Alkalinity,MXNCLJD0016 dup,894.82667,,,20,8.28,,29.16
2019-08-02 03:39:04 UTC+8,Ryan Noble Alkalinity,MXNCLJD0015,860.57555,,,20,8.35,,28.04
2019-08-02 03:03:48 UTC+8,Ryan Noble Alkalinity,MXNCLJD0014,1383.36595,,,20,8.14,,45.07
2019-08-02 02:49:24 UTC+8,Ryan Noble Alkalinity,MXNCLJD0013,500.50875,,,20,8.11,,16.31
2019-08-02 02:40:04 UTC+8,Ryan Noble Alkalinity,MXNCLJD0012 F,286.28563,,,20,8.2,,9.33
2019-08-02 02:30:10 UTC+8,Ryan Noble Alkalinity,MXNCLJD0012,279.59501,,,20,8.2,,9.11
2019-08-02 02:27:10 UTC+8,Ryan Noble Alkalinity,MXNCLJD0010,3.25325,,,20,5.13,,0.11
2019-08-02 02:04:25 UTC+8,Ryan Noble Alkalinity,MXNCLJD0009,857.99751,,,20,8.46,,27.96
2019-08-02 01:42:44 UTC+8,Ryan Noble Alkalinity,MXNCLJD0008,815.52115,,,20,8.51,,26.57
2019-08-02 19:49:04 UTC+8,Ryan Noble Alkalinity,MXNCLJD0007,3806.54842,,,5,8.52,,30.46
2019-08-02 11:44:46 UTC+8,Ryan Noble Alkalinity,MXNCLJD0007,invalid,,,10,8.34,,invalid
2019-08-02 01:20:17 UTC+8,Ryan Noble Alkalinity,MXNCLJD0007,invalid,,,20,8.2,,invalid
2019-08-02 01:02:18 UTC+8,Ryan Noble Alkalinity,MXNCLJD0006,643.09912,,,20,8.09,,20.95
2019-08-02 00:46:34 UTC+8,Ryan Noble Alkalinity,MXNCLJD0005,473.5007,,,20,7.96,,15.43
2019-08-02 00:19:33 UTC+8,Ryan Noble Alkalinity,MXNCLJD0004,1053.80605,,,20,8.24,,34.34
2019-08-01 23:59:50 UTC+8,Ryan Noble Alkalinity,MXSCSJT0014.01A F,731.30507,,,20,8.39,,23.83
2019-08-01 23:46:02 UTC+8,Ryan Noble Alkalinity,MXNCLJD0002,460.18083,,,20,8.14,,14.99
2019-08-01 23:39:45 UTC+8,Ryan Noble Alkalinity,Hamil 20.2 std,135.22453,,,20,8,,4.41
2019-08-01 23:36:45 UTC+8,Ryan Noble Alkalinity,milli-q blank,3.19186,,,20,5.5,,0.1
2019-08-01 23:24:54 UTC+8,Ryan Noble Alkalinity,MXNCLJD0001 dup,388.36389,,,20,8.02,,12.65
2019-08-01 23:12:57 UTC+8,Ryan Noble Alkalinity,MXNCLJD0001,383.2078,,,20,8,,12.49
2019-08-01 22:54:44 UTC+8,Ryan Noble Alkalinity,MXSCSJT0034,644.87922,,,20,8.32,,21.01
2019-08-01 22:33:08 UTC+8,Ryan Noble Alkalinity,MXSCSJT0033,831.11216,,,20,8.15,,27.08
2019-08-01 22:11:34 UTC+8,Ryan Noble Alkalinity,MXSCSJT0032,799.74598,,,20,8.21,,26.06
2019-08-01 21:41:16 UTC+8,Ryan Noble Alkalinity,MXSCSJT0031,1157.90986,,,20,8.18,,37.73
2019-08-01 21:35:40 UTC+8,Ryan Noble Alkalinity,MXSCSJT0030 F,48.49177,,,20,7.22,,1.58
2019-08-01 21:29:10 UTC+8,Ryan Noble Alkalinity,MXSCSJT0030,110.1193,,,20,7.68,,3.59
2019-08-01 21:14:03 UTC+8,Ryan Noble Alkalinity,MXSCSJT0028,541.26637,,,20,8.1,,17.64
2019-08-01 20:55:07 UTC+8,Ryan Noble Alkalinity,MXSCSJT0027,632.11175,,,20,8.03,,20.6
2019-08-01 20:37:26 UTC+8,Ryan Noble Alkalinity,MXSCSJT0026 F,620.51055,,,20,8.09,,20.22
2019-08-01 20:20:42 UTC+8,Ryan Noble Alkalinity,MXSCSJT0026,600.07027,,,20,8.04,,19.55
2019-08-01 19:59:56 UTC+8,Ryan Noble Alkalinity,MXSCSJT0025,539.67043,,,20,7.77,,17.58
2019-08-01 19:34:17 UTC+8,Ryan Noble Alkalinity,MXSCSJT0024,997.2118,,,20,8.17,,32.49
2019-08-01 19:14:15 UTC+8,Ryan Noble Alkalinity,MXSCSJT0023,741.74001,,,20,8.11,,24.17
2019-08-01 18:54:27 UTC+8,Ryan Noble Alkalinity,MXSCSJT0022 F,728.54287,,,20,8.24,,23.74
2019-08-01 18:35:22 UTC+8,Ryan Noble Alkalinity,MXSCSJT0022,724.24615,,,20,8.17,,23.6
2019-08-01 18:12:28 UTC+8,Ryan Noble Alkalinity,MXSCSJT0021,848.48326,,,20,8.18,,27.65
2019-08-01 17:57:41 UTC+8,Ryan Noble Alkalinity,MXSCSJT0020,558.69888,,,20,8.04,,18.2
2019-08-01 17:36:05 UTC+8,Ryan Noble Alkalinity,MXSCSJT0019,734.49693,,,20,7.8,,23.93
2019-08-02 11:24:36 UTC+8,Ryan Noble Alkalinity,MXSCSJTSJT 17.01B rpt,1503.90024,,,10,8.01,,24.07
2019-08-01 16:58:56 UTC+8,Ryan Noble Alkalinity,MXSCSJT0017.01B F,invalid,,,20,8.07,,invalid
2019-08-01 16:52:29 UTC+8,Ryan Noble Alkalinity,Hamil 20.2 std,134.54934,,,20,7.95,,4.38
2019-08-01 16:28:19 UTC+8,Ryan Noble Alkalinity,MXSCSJT0002,967.3802,,,20,8.14,,31.52
2019-08-02 11:02:42 UTC+8,Ryan Noble Alkalinity,MXSCSJT0017.01A rpt.,1498.52703,,,10,7.99,,23.98
2019-08-01 15:48:28 UTC+8,Ryan Noble Alkalinity,MXSCSJT0017.01A dup,1533.93593,,,20,8.01,,49.98
2019-08-01 15:12:02 UTC+8,Ryan Noble Alkalinity,MXSCSJT0017.01A,invalid,,,20,7.93,,invalid
2019-08-01 14:51:08 UTC+8,Ryan Noble Alkalinity,MXSCSJT0016.01B,1036.12803,,,20,9.86,,33.76
2019-08-01 14:48:20 UTC+8,Ryan Noble Alkalinity,MXSCSJT0016.01A,3.19186,,,20,5.32,,0.1
2019-08-01 14:40:43 UTC+8,Ryan Noble Alkalinity,MXSCSJT0015,174.44763,,,20,7.57,,5.68
2019-08-01 14:21:03 UTC+8,Ryan Noble Alkalinity,MXSCSJT0014.01B,725.71927,,,20,7.94,,23.65
2019-08-01 14:00:40 UTC+8,Ryan Noble Alkalinity,MXSCSJT0014.01A,734.31277,,,20,7.79,,23.93
2019-08-01 13:41:49 UTC+8,Ryan Noble Alkalinity,MXSCSJT0013,675.20189,,,20,7.56,,22
2019-08-01 13:34:37 UTC+8,Ryan Noble Alkalinity,MXSCSJT0012,226.43819,,,20,9.22,,7.38
2019-08-01 13:17:04 UTC+8,Ryan Noble Alkalinity,MXSCSJT0011,610.93495,,,20,7.63,,19.91
2019-08-01 13:15:05 UTC+8,Ryan Noble Alkalinity,MXSCSJT0010,0,,,20,3.4,,
2019-08-01 13:00:24 UTC+8,Ryan Noble Alkalinity,MXSCSJT0009,492.52908,,,20,7.95,,16.05
2019-08-01 12:49:15 UTC+8,Ryan Noble Alkalinity,MXSCSJT0008,356.13834,,,20,7.93,,11.6
2019-08-01 12:39:00 UTC+8,Ryan Noble Alkalinity,MXSCSJT0007,315.50345,,,20,7.98,,10.28
2019-08-01 12:31:01 UTC+8,Ryan Noble Alkalinity,MXSCSJT0006,189.85451,,,20,7.33,,6.19
2019-08-01 12:22:23 UTC+8,Ryan Noble Alkalinity,MXSCSJT0005,221.65039,,,20,7.33,,7.22
2019-08-01 12:09:23 UTC+8,Ryan Noble Alkalinity,MXSCSJT0004,424.21099,,,20,7.67,,13.82
2019-08-01 11:56:17 UTC+8,Ryan Noble Alkalinity,MXSCSJT0003,437.03977,,,20,7.73,,14.24
2019-08-01 11:49:28 UTC+8,Ryan Noble Alkalinity,Hamil 20.2,141.97655,,,20,7.64,,4.63
2019-08-01 11:32:10 UTC+8,Ryan Noble Alkalinity,MXSCSJT0001 F,574.84231,,,20,7.68,,18.73
2019-08-01 11:18:07 UTC+8,Ryan Noble Alkalinity,MXSCSJT0001,482.89208,,,20,7.47,,15.73
2019-08-01 11:14:58 UTC+8,Ryan Noble Alkalinity,milli-q blank,3.80568,,,20,5.66,,0.12
2019-08-01 11:08:49 UTC+8,Ryan Noble Titre HCl,STD3,0.00999,,,25,,0.01002,
2019-08-01 11:02:40 UTC+8,Ryan Noble Titre HCl,STD2,0.00993,,,25,,0.01003,
2019-08-01 10:56:26 UTC+8,Ryan Noble Titre HCl,STD1,0.01014,,,25,,0.01014,
2019-08-01 10:51:12 UTC+8,Ryan Noble pH cal,pH calibration 4 and 7,,,,20,,,
