"uuid","identifier","createdBy","createdAtGMT","modifiedBy","modifiedAtGMT","SamplePrefix1","SamplePrefix2","SampleID","WaterSampleSuffix","WaterSampleTimestamp","TimestampField","WaterSampleAuthor","StationDeposit","Project","Area","SiteName","ObservationType","LocationNumber","SRID","Latitude","Longitude","Northing","Easting","Accuracy","ElevationMetresAboveSeaLevel","WaterTable","SampleDepth","BottomOfHole","SamplesCollected","Notes","Photos","Sketches","HoleType","HoleLining","HoleOpenClosed","PipesInHole","HoleAngle","EstimatedAngle","OutflowPresent","SamplingIssues","Temperature","Conductivity","PreferredPH","PreferredEh","PreferredPHTime","PreferredEhTime","geospatialcolumn"
"1000051559264252024","mae-W-0001-31May2019","Mark Eastlake","2019-05-31 00:57:53.017 GMT","Mark Eastlake","2019-05-31 01:23:27 GMT","mae","W","0001","","31May2019","31/05/2019","Mark Eastlake","merrylands","South Cobar","","mxscmae0001 gw002801?","Sampling Location","","28355","-33.5135243387763","146.127540228086","6291440.71281693","418972.619138337","6.0","147","14","19","","Cations - Anions - Alkalinity - Carbon (1L)","Bore 12 m SSW of fenceline. yellow stinky water. timber log jammed in top of hole to seal it.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0001_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0001_31May2019_2.jpg''}}","","Still Bore (Bailed)","Rusty","Closed/covered","No pipes/clear","Angled","80","No","","19.51","1068","8.45","141.3","31-May-19 11:15:56 AEST","31-May-19 11:21:30 AEST","POINT(418972.619138 6291440.712817)"
"1000051559267424885","mae-W-0002-31May2019","Mark Eastlake","2019-05-31 01:50:45.632 GMT","Mark Eastlake","2019-05-31 02:02:03 GMT","mae","W","0002","","31May2019","31/05/2019","Mark Eastlake","Merrilands","South Cobar","","mxscmae0002 ","Sampling Location","","28355","-33.5018055051237","146.116683338469","6292731.49983653","417953.224010893","4.0","149","19.3","24","","Cations - Anions - Alkalinity - Carbon (1L)","rusty flecks. slight smell","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0002_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0002_31May2019_2.jpg''}}","","Still Bore (Bailed)","Rusty","Open/uncovered","No pipes/clear","Vertical","90","","","21.2","4781","8.22","-79","31-May-19 12:01:32 AEST","31-May-19 11:53:41 AEST","POINT(417953.224011 6292731.499837)"
"1000051559277532112","mae-W-0003-31May2019","Mark Eastlake","2019-05-31 04:39:15.013 GMT","Mark Eastlake","2019-05-31 04:56:00 GMT","mae","W","0003","","31May2019","31/05/2019","Mark Eastlake","Merrilands (Kynmoor property)","South Cobar","","mxscmae0003","Sampling Location","","28355","-33.5905199687255","146.121626433733","6282899.18346648","418495.7138551","6.0","194","42","","","Cations - Anions - Alkalinity - Carbon (1L)","boundary of 2 aquifers. pumping bore (GW002208)","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0003_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0003_31May2019_2.jpg''}}","","Flowing Bore","Rusty","Closed/covered","Metal Pipes","Vertical","90","","","20.1","1780","7.32","77","31-May-19 14:44:10 AEST","31-May-19 14:39:47 AEST","POINT(418495.713855 6282899.183466)"
"1000051559279764053","mae-W-0004-31May2019","Mark Eastlake","2019-05-31 05:16:23.314 GMT","Mark Eastlake","2019-05-31 05:32:56 GMT","mae","W","0004","","31May2019","31/05/2019","Mark Eastlake","Kynmoor","South Cobar","","MXSCMAE0004","Sampling Location","","28355","-33.5459752988577","146.132666500683","6287846.71867457","419478.809944541","8.0","","22","27","","Cations - Anions - Alkalinity - Carbon (1L)","Bore adjacent to concrete tank. Yellow water. Quite a few large cypress pines nearby","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0004_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0004_31May2019_2.jpg''}}","","Still Bore (Bailed)","Rusty","Closed/covered","","Vertical","90","No","","20.3","4073","7.89","-145","31-May-19 15:24:21 AEST","31-May-19 15:20:14 AEST","POINT(419478.809945 6287846.718675)"
"1000051559284521508","mae-W-0005-31May2019","Mark Eastlake","2019-05-31 06:35:30.892 GMT","Mark Eastlake","2019-05-31 07:08:37 GMT","mae","W","0005","","31May2019","31/05/2019","Mark Eastlake","Kynmoor (Mount Boorblan)","South Cobar","","MXSCMAE000","Sampling Location","","28355","-33.498970337631","146.324974859744","6293191.07653783","437298.723089751","6.0","205","65.4","71","78 (roughly estimated with bailer)","Cations - Anions - Alkalinity - Carbon (1L)","Brown water, metallic smell. Cluster of mature cypress pines near bore. GW017180","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0005_31May2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0005_31May2019_2.jpg''}}","","Still Bore (Bailed)","Rusty","Open/uncovered","No pipes/clear","Vertical","90","No","","21","5800","7.72","-94","31-May-19 16:52:49 AEST","31-May-19 16:50:59 AEST","POINT(437298.72309 6293191.076538)"
"1000021559342789211","mae-W-0006-01Jun.2019","Nathan Reid","2019-05-31 22:46:38.126 GMT","Nathan Reid","2019-05-31 23:00:49 GMT","mae","W","0006","","01Jun.2019","01/06/2019","Nathan Reid","Crown land","South Cobar","","MXSCMAE0006","Observation Only","","28355","-33.35816492603","146.45806223682","6308874.5947747","449579.668946402","4.0","166","","","","","LGA water bore on eastern corner of intersection. Locked cap.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0006_01Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0006_01Jun_2019_2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0006_01Jun_2019_3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0006_01Jun_2019_4.jpg''}}","","Still Bore (Bailed)","Metal","Closed/covered","","Vertical","90","No","","","","","","","","POINT(449579.668946 6308874.594775)"
"1000021559346761094","mae-W-0007-01Jun.2019","Nathan Reid","2019-05-31 23:52:53.668 GMT","Nathan Reid","2019-05-31 23:56:12 GMT","mae","W","0007","","01Jun.2019","01/06/2019","Nathan Reid","Crown land","South Cobar","","","Observation Only","","28355","-33.4425374146996","146.473236939167","6299527.53331638","451038.839434896","6.0","180","","","","","Locked LGA bore on West side of road.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0007_01Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0007_01Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Metal","Closed/covered","No pipes/clear","Vertical","90","No","","","","","","","","POINT(451038.839435 6299527.533316)"
"1000021559353473187","mae-W-0008-01Jun.2019","Nathan Reid","2019-06-01 01:44:52.405 GMT","Nathan Reid","2019-06-01 01:48:11 GMT","mae","W","0008","","01Jun.2019","01/06/2019","Nathan Reid","Heaton Park","South Cobar","","MXSCMAE0008","Observation Only","","28355","-33.5672372440574","146.528848775171","6285726.79802445","456270.612543993","4.0","200","","","","","Cronin paddock. GW001354 misslocated. Bore blocked 2 m down. No water accessed.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0008_01Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0008_01Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Rusty","Open/uncovered","No pipes/clear","Vertical","90","No","","","","","","","","POINT(456270.612544 6285726.798024)"
"1000021559354458919","mae-W-0009-01Jun.2019","Nathan Reid","2019-06-01 02:01:32.715 GMT","Nathan Reid","2019-06-01 02:05:21 GMT","mae","W","0009","","01Jun.2019","01/06/2019","Nathan Reid","Heaton Park","South Cobar","","MXSCMAE0009","Observation Only","","28355","-33.5355796017604","146.485145764687","6289217.43609211","452196.89216771","4.0","193","","","","","Beaufort Park West paddock. GW017237. Blocked. ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0009_01Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0009_01Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Rusty","Closed/covered","No pipes/clear","Vertical","90","No","","","","","","","","POINT(452196.892168 6289217.436092)"
"1000021559357944938","mae-W-0010-01Jun.2019","Nathan Reid","2019-06-01 02:59:14.269 GMT","Nathan Reid","2019-06-01 03:29:17 GMT","mae","W","0010","","01Jun.2019","01/06/2019","Nathan Reid","Heaton Park (MILLVIEW property name)","South Cobar","","MXSCMAE0010","Sampling Location","","28355","-33.4177946868013","146.636294596482","6302335.63253337","466185.100025984","6.0","233","19 m (anecdotal)","","56 m ","Cations - Anions - Alkalinity - Carbon (1L)","open field. Chronology samples taken. Mostly poetic pipes in bore with some metal at the manifold. ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0010_01Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0010_01Jun_2019_2.jpg''}}","","Flowing Bore","Poly pipe/plastic","Closed/covered","Metal Pipes","Vertical","90","No","","20.91","1889","7.53","178.5","1-Jun.-19 13:11:22 AEST","1-Jun.-19 13:07:18 AEST","POINT(466185.100026 6302335.632533)"
"1000021559366103949","mae-W-0011-01Jun.2019","Nathan Reid","2019-06-01 05:15:17.417 GMT","Nathan Reid","2019-06-01 05:30:08 GMT","mae","W","0011","","01Jun.2019","01/06/2019","Nathan Reid","Willowlea","South Cobar","","MXSCMAE0011","Sampling Location","","28355","-33.7339471647262","146.504867546965","6267232.73513595","454133.312837957","6.0","","90 (anecdotal)","","120 (anacdotal)","Cations - Anions - Alkalinity - Carbon (1L)","Bore near house.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0011_01Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0011_01Jun_2019_2.jpg''}}","","Flowing Bore","Poly pipe/plastic","Closed/covered","Poly Pipes","Vertical","90","No","","22.37","12180","6.64","-61.5","1-Jun.-19 15:24:04 AEST","1-Jun.-19 15:27:53 AEST","POINT(454133.312838 6267232.735136)"
"1000021559367803139","mae-W-0012-01Jun.2019","Nathan Reid","2019-06-01 05:43:31.245 GMT","Nathan Reid","2019-06-01 05:46:37 GMT","mae","W","0012","","01Jun.2019","01/06/2019","Nathan Reid","Willowlea","South Cobar","","","Observation Only","","28355","-33.7355971224326","146.46260362088","6267030.2043236","450219.096465334","6.0","210","","","","","Bore blocked 5m down.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0012_01Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/mae_W_0012_01Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Rusty","Open/uncovered","","Vertical","90","No","","","","","","","","POINT(450219.096465 6267030.204324)"
"1000051559433844405","MAE--0013-02Jun.2019","Mark Eastlake","2019-06-02 00:04:22.073 GMT","Mark Eastlake","2019-06-02 00:06:10 GMT","MAE","","0013","","02Jun.2019","02/06/2019","Mark Eastlake","","","","","Observation Only","","28355","-33.2870007855535","145.849969844391","6316305.51334688","392915.259829363","4.0","","","","","","Monitored bore on East side of Kidman Way.","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_0013_02Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_0013_02Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Metal","Closed/covered","No pipes/clear","Vertical","90","No","","","","","","","","POINT(392915.259829 6316305.513347)"
"1000051559434508856","MAE--0014-02Jun.2019","Mark Eastlake","2019-06-02 00:15:23.231 GMT","Mark Eastlake","2019-06-02 00:18:37 GMT","MAE","","0014","","02Jun.2019","02/06/2019","Mark Eastlake","Crown land bores","","","","Observation Only","","28355","-33.2173708263274","145.863832691698","6324039.75708594","394122.209793805","4.0","137","","","","","Locked bore","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_0014_02Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_0014_02Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Metal","Closed/covered","No pipes/clear","Vertical","90","No","","","","","","","","POINT(394122.209794 6324039.757086)"
"1000051559435550387","MAE--0015-02Jun.2019","Mark Eastlake","2019-06-02 00:32:43.997 GMT","Mark Eastlake","2019-06-02 01:54:53 GMT","MAE","","0015","","02Jun.2019","02/06/2019","Mark Eastlake","State conservation area","","","","Sampling Location","","28355","-33.1759227163016","145.854338170016","6328625.56110023","393187.064508074","8.0","","46.1","","","","open bore 25 m at bearing 312 from dam. one of 3 bore in vicinity. the other accessible bore had same water table","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_0015_02Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_0015_02Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Metal","Open/uncovered","Metal Pipes","Vertical","90","No","","21.8","938","6.8","-78.6","2-Jun.-19 11:51:49 AEST","2-Jun.-19 11:51:59 AEST","POINT(393187.064508 6328625.5611)"
"1000051559446711738","MAE-W-0016-02Jun.2019","Mark Eastlake","2019-06-02 03:38:42.013 GMT","Mark Eastlake","2019-06-02 04:49:16 GMT","MAE","W","0016","","02Jun.2019","02/06/2019","Mark Eastlake","Wagga Tank","","","","Sampling Location","","28355","-32.6539622257139","145.703476841299","6386331.41092033","378409.266752781","4.0","194","103.4m","115","Cased with poly to 126m","Cations - Anions - Alkalinity - Carbon (1L)","Hole WTRCDD180. Drilled start of February 2019 (4 months old). Possible risk of contamination from drilling. ","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_W_0016_02Jun_2019_1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''WaterSample/Photos/MAE_W_0016_02Jun_2019_2.jpg''}}","","Still Bore (Bailed)","Poly pipe/plastic","Open/uncovered","No pipes/clear","Angled","58","No","","23.24","11920","6.96","-51","2-Jun.-19 14:08:35 AEST","2-Jun.-19 14:04:15 AEST","POINT(378409.266753 6386331.41092)"
